,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-01-11,206.05812218,175.05702559568633,230.10673237079203,206.05812218,206.05812218,-4.5418892957962225,-4.5418892957962225,-4.5418892957962225,-4.5418892957962225,-4.5418892957962225,-4.5418892957962225,0.0,0.0,0.0,201.5162328842038
1,2024-01-12,205.71576507698632,173.24132227190725,228.60745174883647,205.71576507698632,205.71576507698632,-4.701256993047963,-4.701256993047963,-4.701256993047963,-4.701256993047963,-4.701256993047963,-4.701256993047963,0.0,0.0,0.0,201.01450808393835
2,2024-01-16,204.34633666493153,172.73750587209332,225.56648374163748,204.34633666493153,204.34633666493153,-3.430150346450261,-3.430150346450261,-3.430150346450261,-3.430150346450261,-3.430150346450261,-3.430150346450261,0.0,0.0,0.0,200.91618631848127
3,2024-01-17,204.0039795619178,174.01892806127148,230.16930101025068,204.0039795619178,204.0039795619178,-4.496480751888591,-4.496480751888591,-4.496480751888591,-4.496480751888591,-4.496480751888591,-4.496480751888591,0.0,0.0,0.0,199.5074988100292
4,2024-01-18,203.6616224589041,173.73598582762602,228.37600386703568,203.6616224589041,203.6616224589041,-4.541889295800258,-4.541889295800258,-4.541889295800258,-4.541889295800258,-4.541889295800258,-4.541889295800258,0.0,0.0,0.0,199.11973316310386
5,2024-01-19,203.31926535589042,171.24012263311135,227.46411540954648,203.31926535589042,203.31926535589042,-4.701256993048361,-4.701256993048361,-4.701256993048361,-4.701256993048361,-4.701256993048361,-4.701256993048361,0.0,0.0,0.0,198.61800836284206
6,2024-01-22,202.29219404684932,171.23333696657122,226.05059222672605,202.29219404684932,202.29219404684932,-3.514233506866486,-3.514233506866486,-3.514233506866486,-3.514233506866486,-3.514233506866486,-3.514233506866486,0.0,0.0,0.0,198.77796053998284
7,2024-01-23,201.94983694383563,172.07770208727692,227.29982308062154,201.94983694383563,201.94983694383563,-3.4301503464534098,-3.4301503464534098,-3.4301503464534098,-3.4301503464534098,-3.4301503464534098,-3.4301503464534098,0.0,0.0,0.0,198.51968659738222
8,2024-01-24,201.6074798408219,169.69905957190824,225.6884191559193,201.6074798408219,201.6074798408219,-4.496480751886111,-4.496480751886111,-4.496480751886111,-4.496480751886111,-4.496480751886111,-4.496480751886111,0.0,0.0,0.0,197.11099908893578
9,2024-01-25,201.26512271756192,168.63947111208347,223.45435151131687,201.26512271756192,201.26512271756192,-4.541889295798782,-4.541889295798782,-4.541889295798782,-4.541889295798782,-4.541889295798782,-4.541889295798782,0.0,0.0,0.0,196.72323342176315
10,2024-01-26,200.92276559430195,169.35013244448803,222.17532473526012,200.92276559430195,200.92276559430195,-4.701256993037897,-4.701256993037897,-4.701256993037897,-4.701256993037897,-4.701256993037897,-4.701256993037897,0.0,0.0,0.0,196.22150860126405
11,2024-01-29,199.895694224522,169.72992060148306,225.10552041178204,199.895694224522,199.895694224522,-3.514233506835712,-3.514233506835712,-3.514233506835712,-3.514233506835712,-3.514233506835712,-3.514233506835712,0.0,0.0,0.0,196.38146071768628
12,2024-01-30,199.55333710126206,168.9259014233153,224.01521254283182,199.55333710126206,199.55333710126206,-3.4301503464565584,-3.4301503464565584,-3.4301503464565584,-3.4301503464565584,-3.4301503464565584,-3.4301503464565584,0.0,0.0,0.0,196.1231867548055
13,2024-01-31,199.21097997800206,167.4599231533817,223.0184496817124,199.21097997800206,199.21097997800206,-4.496480751886918,-4.496480751886918,-4.496480751886918,-4.496480751886918,-4.496480751886918,-4.496480751886918,0.0,0.0,0.0,194.71449922611515
14,2024-02-01,198.86862285474209,166.88416984539552,221.42442443548399,198.86862285474209,198.86862285474209,-4.541889295798527,-4.541889295798527,-4.541889295798527,-4.541889295798527,-4.541889295798527,-4.541889295798527,0.0,0.0,0.0,194.32673355894354
15,2024-02-02,198.52626573148208,165.64060523766045,221.7593100154947,198.52626573148208,198.52626573148208,-4.701256993027433,-4.701256993027433,-4.701256993027433,-4.701256993027433,-4.701256993027433,-4.701256993027433,0.0,0.0,0.0,193.82500873845464
16,2024-02-05,197.4991943617022,167.9028751196309,223.26342168417898,197.4991943617022,197.4991943617022,-3.514233506833865,-3.514233506833865,-3.514233506833865,-3.514233506833865,-3.514233506833865,-3.514233506833865,0.0,0.0,0.0,193.98496085486832
17,2024-02-06,197.1568372392315,165.78957762246094,223.0784529474441,197.1568372392315,197.1568372392315,-3.4301503464525225,-3.4301503464525225,-3.4301503464525225,-3.4301503464525225,-3.4301503464525225,-3.4301503464525225,0.0,0.0,0.0,193.72668689277896
18,2024-02-07,196.81448011676076,163.88159592025136,221.3119800724434,196.81448011676076,196.81448011676076,-4.496480751887726,-4.496480751887726,-4.496480751887726,-4.496480751887726,-4.496480751887726,-4.496480751887726,0.0,0.0,0.0,192.31799936487303
19,2024-02-08,196.47212299429006,164.4909284647272,219.11699123381777,196.47212299429006,196.47212299429006,-4.54188929579705,-4.54188929579705,-4.54188929579705,-4.54188929579705,-4.54188929579705,-4.54188929579705,0.0,0.0,0.0,191.930233698493
20,2024-02-09,196.12976587181936,161.76348160641277,218.64465269651816,196.12976587181936,196.12976587181936,-4.701256993060981,-4.701256993060981,-4.701256993060981,-4.701256993060981,-4.701256993060981,-4.701256993060981,0.0,0.0,0.0,191.42850887875838
21,2024-02-12,195.10269450440722,162.18510495872775,218.252793774787,195.10269450440722,195.10269450440722,-3.514233506856052,-3.514233506856052,-3.514233506856052,-3.514233506856052,-3.514233506856052,-3.514233506856052,0.0,0.0,0.0,191.58846099755118
22,2024-02-13,194.76033738193652,164.40372654415643,219.29801205037768,194.76033738193652,194.76033738193652,-3.430150346448487,-3.430150346448487,-3.430150346448487,-3.430150346448487,-3.430150346448487,-3.430150346448487,0.0,0.0,0.0,191.33018703548802
23,2024-02-14,194.41798025946582,161.4009119016937,218.8714177617476,194.41798025946582,194.41798025946582,-4.496480751887608,-4.496480751887608,-4.496480751887608,-4.496480751887608,-4.496480751887608,-4.496480751887608,0.0,0.0,0.0,189.9214995075782
24,2024-02-15,194.0756231369951,160.2624281334305,216.5773856926559,194.0756231369951,194.0756231369951,-4.541889295801087,-4.541889295801087,-4.541889295801087,-4.541889295801087,-4.541889295801087,-4.541889295801087,0.0,0.0,0.0,189.533733841194
25,2024-02-16,193.73326601854782,160.255916470943,218.3312581154032,193.73326601854782,193.73326601854782,-4.701256993061378,-4.701256993061378,-4.701256993061378,-4.701256993061378,-4.701256993061378,-4.701256993061378,0.0,0.0,0.0,189.03200902548645
26,2024-02-20,192.36383754475872,160.50982191656365,215.39610706735297,192.36383754475872,192.36383754475872,-3.430150346457671,-3.430150346457671,-3.430150346457671,-3.430150346457671,-3.430150346457671,-3.430150346457671,0.0,0.0,0.0,188.93368719830104
27,2024-02-21,192.02148042631148,158.19026012896452,214.7469261440486,192.02148042631148,192.02148042631148,-4.496480751887488,-4.496480751887488,-4.496480751887488,-4.496480751887488,-4.496480751887488,-4.496480751887488,0.0,0.0,0.0,187.524999674424
28,2024-02-22,191.67912330786422,160.41440897099972,214.7717659680201,191.67912330786422,191.67912330786422,-4.54188929579961,-4.54188929579961,-4.54188929579961,-4.54188929579961,-4.54188929579961,-4.54188929579961,0.0,0.0,0.0,187.1372340120646
29,2024-02-23,191.33676618941692,159.06956699032048,216.7645911662762,191.33676618941692,191.33676618941692,-4.701256993040053,-4.701256993040053,-4.701256993040053,-4.701256993040053,-4.701256993040053,-4.701256993040053,0.0,0.0,0.0,186.63550919637686
30,2024-02-26,190.30969483407512,159.75700427916772,213.27528239257157,190.30969483407512,190.30969483407512,-3.5142335068643735,-3.5142335068643735,-3.5142335068643735,-3.5142335068643735,-3.5142335068643735,-3.5142335068643735,0.0,0.0,0.0,186.79546132721075
31,2024-02-27,189.96733771562782,159.3034779514041,212.10185619032518,189.96733771562782,189.96733771562782,-3.4301503464608185,-3.4301503464608185,-3.4301503464608185,-3.4301503464608185,-3.4301503464608185,-3.4301503464608185,0.0,0.0,0.0,186.53718736916701
32,2024-02-28,189.62498059718055,157.58704432938177,212.17233941478037,189.62498059718055,189.62498059718055,-4.496480751885935,-4.496480751885935,-4.496480751885935,-4.496480751885935,-4.496480751885935,-4.496480751885935,0.0,0.0,0.0,185.1284998452946
33,2024-02-29,189.2826234351123,156.70874253156808,215.441165456984,189.2826234351123,189.2826234351123,-4.541889295803646,-4.541889295803646,-4.541889295803646,-4.541889295803646,-4.541889295803646,-4.541889295803646,0.0,0.0,0.0,184.74073413930864
34,2024-03-01,188.94026627304402,158.10069142408338,212.5938613391156,188.94026627304402,188.94026627304402,-4.701256993040451,-4.701256993040451,-4.701256993040451,-4.701256993040451,-4.701256993040451,-4.701256993040451,0.0,0.0,0.0,184.23900928000356
35,2024-03-04,187.91319478683928,159.89502628445618,213.62397445707148,187.91319478683928,187.91319478683928,-3.5142335068625274,-3.5142335068625274,-3.5142335068625274,-3.5142335068625274,-3.5142335068625274,-3.5142335068625274,0.0,0.0,0.0,184.39896127997676
36,2024-03-05,187.570837624771,159.2947272945495,212.57375112630692,187.570837624771,187.570837624771,-3.430150346449599,-3.430150346449599,-3.430150346449599,-3.430150346449599,-3.430150346449599,-3.430150346449599,0.0,0.0,0.0,184.1406872783214
37,2024-03-06,187.22848046270275,155.766681573998,209.84219632152593,187.22848046270275,187.22848046270275,-4.4964807518876695,-4.4964807518876695,-4.4964807518876695,-4.4964807518876695,-4.4964807518876695,-4.4964807518876695,0.0,0.0,0.0,182.73199971081507
38,2024-03-07,186.8861233006345,154.47363779030192,207.8781582838549,186.8861233006345,186.8861233006345,-4.541889295792364,-4.541889295792364,-4.541889295792364,-4.541889295792364,-4.541889295792364,-4.541889295792364,0.0,0.0,0.0,182.34423400484212
39,2024-03-08,186.54376613856624,155.2943051858495,211.22437042010466,186.54376613856624,186.54376613856624,-4.701256993029985,-4.701256993029985,-4.701256993029985,-4.701256993029985,-4.701256993029985,-4.701256993029985,0.0,0.0,0.0,181.84250914553627
40,2024-03-11,185.5166946523615,153.4038556092926,207.25450732450633,185.5166946523615,185.5166946523615,-3.5142335068726966,-3.5142335068726966,-3.5142335068726966,-3.5142335068726966,-3.5142335068726966,-3.5142335068726966,0.0,0.0,0.0,182.0024611454888
41,2024-03-12,185.17434110359957,155.61719924620394,211.57511477590242,185.17434110359957,185.17434110359957,-3.4301503464527485,-3.4301503464527485,-3.4301503464527485,-3.4301503464527485,-3.4301503464527485,-3.4301503464527485,0.0,0.0,0.0,181.74419075714684
42,2024-03-13,184.8319875548377,152.53166313266203,207.9552730523508,184.8319875548377,184.8319875548377,-4.496480751887551,-4.496480751887551,-4.496480751887551,-4.496480751887551,-4.496480751887551,-4.496480751887551,0.0,0.0,0.0,180.33550680295014
43,2024-03-14,184.4896340060758,152.6712535922023,208.75590736381548,184.4896340060758,184.4896340060758,-4.5418892957964,-4.5418892957964,-4.5418892957964,-4.5418892957964,-4.5418892957964,-4.5418892957964,0.0,0.0,0.0,179.94774471027938
44,2024-03-15,184.1472804573139,152.1976128735016,208.5692651900809,184.1472804573139,184.1472804573139,-4.701256993030385,-4.701256993030385,-4.701256993030385,-4.701256993030385,-4.701256993030385,-4.701256993030385,0.0,0.0,0.0,179.4460234642835
45,2024-03-18,183.12021981102822,151.447172262159,205.69091202121103,183.12021981102822,183.12021981102822,-3.5142335068419235,-3.5142335068419235,-3.5142335068419235,-3.5142335068419235,-3.5142335068419235,-3.5142335068419235,0.0,0.0,0.0,179.6059863041863
46,2024-03-19,182.77786626226631,151.97508346940532,206.4187642774316,182.77786626226631,182.77786626226631,-3.430150346448712,-3.430150346448712,-3.430150346448712,-3.430150346448712,-3.430150346448712,-3.430150346448712,0.0,0.0,0.0,179.34771591581762
47,2024-03-20,182.43551271350444,152.824412835406,205.7256237779057,182.43551271350444,182.43551271350444,-4.496480751887432,-4.496480751887432,-4.496480751887432,-4.496480751887432,-4.496480751887432,-4.496480751887432,0.0,0.0,0.0,177.939031961617
48,2024-03-21,182.0931591647425,150.84563762681907,205.0208519742331,182.0931591647425,182.0931591647425,-4.541889295794924,-4.541889295794924,-4.541889295794924,-4.541889295794924,-4.541889295794924,-4.541889295794924,0.0,0.0,0.0,177.55126986894757
49,2024-03-22,181.75081459086135,149.1682660301729,203.06694976499344,181.75081459086135,181.75081459086135,-4.7012569930199195,-4.7012569930199195,-4.7012569930199195,-4.7012569930199195,-4.7012569930199195,-4.7012569930199195,0.0,0.0,0.0,177.04955759784144
50,2024-03-25,180.7237808692179,148.86801484837056,204.07817337345833,180.7237808692179,180.7237808692179,-3.5142335068520936,-3.5142335068520936,-3.5142335068520936,-3.5142335068520936,-3.5142335068520936,-3.5142335068520936,0.0,0.0,0.0,177.2095473623658
51,2024-03-26,180.38143629533673,150.2698033285464,203.3097263544311,180.38143629533673,180.38143629533673,-3.43015034645186,-3.43015034645186,-3.43015034645186,-3.43015034645186,-3.43015034645186,-3.43015034645186,0.0,0.0,0.0,176.95128594888487
52,2024-03-27,180.03909172145558,146.50412245523992,202.33723703980002,180.03909172145558,180.03909172145558,-4.496480751888241,-4.496480751888241,-4.496480751888241,-4.496480751888241,-4.496480751888241,-4.496480751888241,0.0,0.0,0.0,175.54261096956733
53,2024-03-28,179.69674714757443,145.91848476788735,203.92826111922395,179.69674714757443,179.69674714757443,-4.541889295804474,-4.541889295804474,-4.541889295804474,-4.541889295804474,-4.541889295804474,-4.541889295804474,0.0,0.0,0.0,175.15485785176995
54,2024-04-01,178.3273688520498,146.92237373938164,203.67191582086843,178.3273688520498,178.3273688520498,-3.5142335068502457,-3.5142335068502457,-3.5142335068502457,-3.5142335068502457,-3.5142335068502457,-3.5142335068502457,0.0,0.0,0.0,174.81313534519956
55,2024-04-02,177.98502427816865,147.31436038386508,200.62228481992295,177.98502427816865,177.98502427816865,-3.430150346453861,-3.430150346453861,-3.430150346453861,-3.430150346453861,-3.430150346453861,-3.430150346453861,0.0,0.0,0.0,174.55487393171478
56,2024-04-03,177.6426797042875,146.99234414529164,201.6689322755158,177.6426797042875,177.6426797042875,-4.496480751884833,-4.496480751884833,-4.496480751884833,-4.496480751884833,-4.496480751884833,-4.496480751884833,0.0,0.0,0.0,173.14619895240267
57,2024-04-04,177.47599281347485,144.42096119075381,201.25412877099112,177.47599281347485,177.47599281347485,-4.5418892958029975,-4.5418892958029975,-4.5418892958029975,-4.5418892958029975,-4.5418892958029975,-4.5418892958029975,0.0,0.0,0.0,172.93410351767184
58,2024-04-05,177.3093059226622,143.29790460696861,201.2728225049176,177.3093059226622,177.3093059226622,-4.701256993043004,-4.701256993043004,-4.701256993043004,-4.701256993043004,-4.701256993043004,-4.701256993043004,0.0,0.0,0.0,172.60804892961917
59,2024-04-08,176.8092452502242,146.8988868960198,200.37801053277605,176.8092452502242,176.8092452502242,-3.514233506872433,-3.514233506872433,-3.514233506872433,-3.514233506872433,-3.514233506872433,-3.514233506872433,0.0,0.0,0.0,173.29501174335175
60,2024-04-09,176.64255835941154,146.47510285281498,201.35899704227725,176.64255835941154,176.64255835941154,-3.4301503464498264,-3.4301503464498264,-3.4301503464498264,-3.4301503464498264,-3.4301503464498264,-3.4301503464498264,0.0,0.0,0.0,173.2124080129617
61,2024-04-10,176.47587146859885,143.74068115113687,200.94900807595124,176.47587146859885,176.47587146859885,-4.496480751886569,-4.496480751886569,-4.496480751886569,-4.496480751886569,-4.496480751886569,-4.496480751886569,0.0,0.0,0.0,171.9793907167123
62,2024-04-11,176.3091845777862,144.22632903289326,200.56886770922725,176.3091845777862,176.3091845777862,-4.54188929580152,-4.54188929580152,-4.54188929580152,-4.54188929580152,-4.54188929580152,-4.54188929580152,0.0,0.0,0.0,171.76729528198467
63,2024-04-12,176.14249768697354,144.95998266708426,198.32413977428206,176.14249768697354,176.14249768697354,-4.7012569930325405,-4.7012569930325405,-4.7012569930325405,-4.7012569930325405,-4.7012569930325405,-4.7012569930325405,0.0,0.0,0.0,171.441240693941
64,2024-04-15,175.64243701453557,143.2234931551924,200.06331973405364,175.64243701453557,175.64243701453557,-3.514233506870585,-3.514233506870585,-3.514233506870585,-3.514233506870585,-3.514233506870585,-3.514233506870585,0.0,0.0,0.0,172.12820350766498
65,2024-04-16,175.74088131917495,144.80706978540474,199.67583375760245,175.74088131917495,175.74088131917495,-3.4301503464457905,-3.4301503464457905,-3.4301503464457905,-3.4301503464457905,-3.4301503464457905,-3.4301503464457905,0.0,0.0,0.0,172.31073097272915
66,2024-04-17,175.83932562381435,142.09456974278044,197.8332311645261,175.83932562381435,175.83932562381435,-4.49648075188645,-4.49648075188645,-4.49648075188645,-4.49648075188645,-4.49648075188645,-4.49648075188645,0.0,0.0,0.0,171.3428448719279
67,2024-04-18,175.93776992845375,144.24352549641367,200.75663617687692,175.93776992845375,175.93776992845375,-4.541889295805557,-4.541889295805557,-4.541889295805557,-4.541889295805557,-4.541889295805557,-4.541889295805557,0.0,0.0,0.0,171.3958806326482
68,2024-04-19,176.03621423309312,143.33794908176415,199.1338590160333,176.03621423309312,176.03621423309312,-4.70125699306609,-4.70125699306609,-4.70125699306609,-4.70125699306609,-4.70125699306609,-4.70125699306609,0.0,0.0,0.0,171.33495724002702
69,2024-04-22,176.3315471470113,145.8489949300035,197.10628984642833,176.3315471470113,176.3315471470113,-3.5142335068687376,-3.5142335068687376,-3.5142335068687376,-3.5142335068687376,-3.5142335068687376,-3.5142335068687376,0.0,0.0,0.0,172.81731364014254
70,2024-04-23,176.4299914516507,146.28520960335678,199.49295036523662,176.4299914516507,176.4299914516507,-3.430150346448938,-3.430150346448938,-3.430150346448938,-3.430150346448938,-3.430150346448938,-3.430150346448938,0.0,0.0,0.0,172.99984110520177
71,2024-04-24,176.5284357562901,144.4019069962101,199.65972358569826,176.5284357562901,176.5284357562901,-4.496480751887257,-4.496480751887257,-4.496480751887257,-4.496480751887257,-4.496480751887257,-4.496480751887257,0.0,0.0,0.0,172.03195500440285
72,2024-04-25,176.62688006092947,145.40822042012942,199.77861181453068,176.62688006092947,176.62688006092947,-4.54188929578876,-4.54188929578876,-4.54188929578876,-4.54188929578876,-4.54188929578876,-4.54188929578876,0.0,0.0,0.0,172.0849907651407
73,2024-04-26,176.9645930790483,146.41108925961942,199.58628904493168,176.9645930790483,176.9645930790483,-4.701256993066487,-4.701256993066487,-4.701256993066487,-4.701256993066487,-4.701256993066487,-4.701256993066487,0.0,0.0,0.0,172.26333608598182
74,2024-04-29,177.97773213340483,146.87344443075693,201.21752420563442,177.97773213340483,177.97773213340483,-3.5142335068499815,-3.5142335068499815,-3.5142335068499815,-3.5142335068499815,-3.5142335068499815,-3.5142335068499815,0.0,0.0,0.0,174.46349862655484
75,2024-04-30,178.31544515152368,146.4043737235282,203.38298939574355,178.31544515152368,178.31544515152368,-3.4301503464581207,-3.4301503464581207,-3.4301503464581207,-3.4301503464581207,-3.4301503464581207,-3.4301503464581207,0.0,0.0,0.0,174.88529480506554
76,2024-05-01,178.65315816964255,146.60642802055824,202.2428890886415,178.65315816964255,178.65315816964255,-4.4964807518880665,-4.4964807518880665,-4.4964807518880665,-4.4964807518880665,-4.4964807518880665,-4.4964807518880665,0.0,0.0,0.0,174.15667741775448
77,2024-05-02,178.99087118776137,146.65116423909853,202.40406703874922,178.99087118776137,178.99087118776137,-4.5418892957983115,-4.5418892957983115,-4.5418892957983115,-4.5418892957983115,-4.5418892957983115,-4.5418892957983115,0.0,0.0,0.0,174.44898189196306
78,2024-05-03,179.32858420588022,146.96058956153706,199.39969406032262,179.32858420588022,179.32858420588022,-4.70125699304516,-4.70125699304516,-4.70125699304516,-4.70125699304516,-4.70125699304516,-4.70125699304516,0.0,0.0,0.0,174.62732721283507
79,2024-05-06,180.34172326023676,150.8839487365847,201.29216825671202,180.34172326023676,180.34172326023676,-3.5142335068481336,-3.5142335068481336,-3.5142335068481336,-3.5142335068481336,-3.5142335068481336,-3.5142335068481336,0.0,0.0,0.0,176.82748975338862
80,2024-05-07,180.67943627835564,147.9826369765592,203.58876107473296,180.67943627835564,180.67943627835564,-3.43015034646127,-3.43015034646127,-3.43015034646127,-3.43015034646127,-3.43015034646127,-3.43015034646127,0.0,0.0,0.0,177.24928593189438
81,2024-05-08,181.12969040213474,148.4116345194612,202.80393557171308,181.12969040213474,181.12969040213474,-4.496480751888875,-4.496480751888875,-4.496480751888875,-4.496480751888875,-4.496480751888875,-4.496480751888875,0.0,0.0,0.0,176.63320965024587
82,2024-05-09,181.57994452591387,149.37401858158577,205.3249390074281,181.57994452591387,181.57994452591387,-4.5418892957968335,-4.5418892957968335,-4.5418892957968335,-4.5418892957968335,-4.5418892957968335,-4.5418892957968335,0.0,0.0,0.0,177.03805523011704
